time,true_velocity,n_true,predicted_velocity,predicted_n,bounds_crossed
131.1840057373047,6.705487251281738,1.0992854833602905,6.705487251281738,1.033774495124817,0
131.7935333251953,6.734562873840332,1.0325154066085815,6.734562873840332,1.0339434146881104,0
131.88699340820312,6.734562873840332,1.122804880142212,6.734562873840332,1.0349996089935303,0
132.19012451171875,7.074824810028076,1.1354793310165405,7.074824810028076,1.0361740589141846,0
132.28848266601562,7.074824810028076,1.1046779155731201,7.074824810028076,1.037038803100586,0
132.39480590820312,7.074824810028076,0.9969261884689331,7.074824810028076,1.0368396043777466,0
132.6959686279297,7.199844837188721,1.0163002014160156,7.199844837188721,1.0368316173553467,0
132.9928436279297,7.424180507659912,1.1390535831451416,7.424180507659912,1.0380277633666992,0
133.09239196777344,7.510909080505371,1.1453033685684204,7.510909080505371,1.0392779111862183,0
133.19610595703125,7.538618087768555,1.2580243349075317,7.538618087768555,1.0416250228881836,0
133.2921600341797,7.538618087768555,1.0976061820983887,7.538618087768555,1.0423873662948608,0
133.38894653320312,7.586382865905762,0.908744752407074,7.586382865905762,1.0412964820861816,0
133.48924255371094,7.624324321746826,0.9574177861213684,7.624324321746826,1.040687918663025,0
133.58602905273438,7.634803771972656,0.90031498670578,7.634803771972656,1.0395243167877197,0
133.6826629638672,7.661772727966309,0.8997140526771545,7.661772727966309,1.0383613109588623,0
133.70545959472656,7.677642822265625,1.050750970840454,7.677642822265625,1.0386793613433838,0
133.7931671142578,7.6930670738220215,1.0717566013336182,7.6930670738220215,1.0392001867294312,0
133.88865661621094,7.6930670738220215,0.8936234712600708,7.6930670738220215,1.0379809141159058,0
133.88865661621094,7.6930670738220215,1.072275161743164,7.6930670738220215,1.0385092496871948,0
134.09149169921875,7.735230445861816,1.2020732164382935,7.735230445861816,1.0402984619140625,0
134.29501342773438,7.806321620941162,1.3699569702148438,7.806321620941162,1.0437110662460327,0
134.48593139648438,7.929224491119385,1.1784813404083252,7.929224491119385,1.045241117477417,0
134.5889129638672,8.015597343444824,1.1603295803070068,8.015597343444824,1.0465855598449707,0
134.5889129638672,8.015597343444824,0.8248958587646484,8.015597343444824,1.0446631908416748,0
134.6929473876953,8.015597343444824,0.581188976764679,8.015597343444824,1.0403852462768555,0
134.8875732421875,8.016517639160156,0.5977152585983276,8.016517639160156,1.0362920761108398,0
135.18313598632812,7.988461017608643,0.5821809768676758,7.988461017608643,1.0320714712142944,0
135.1912384033203,7.988461017608643,0.7483916282653809,7.988461017608643,1.0294859409332275,0
135.29002380371094,7.950693607330322,0.7434563040733337,7.950693607330322,1.026867151260376,0
135.38658142089844,7.911073207855225,0.8143601417541504,7.911073207855225,1.0249496698379517,0
135.49119567871094,7.875594615936279,1.0328044891357422,7.875594615936279,1.0251562595367432,0
135.5890655517578,7.817368030548096,1.0331342220306396,7.817368030548096,1.0253647565841675,0
135.5890655517578,7.817368030548096,1.138776421546936,7.817368030548096,1.0265926122665405,0
135.9834442138672,7.774295330047607,1.1235685348510742,7.774295330047607,1.0276663303375244,0
136.48373413085938,7.7118659019470215,1.1241319179534912,7.7118659019470215,1.0287392139434814,0
136.78379821777344,7.669428825378418,1.108947515487671,7.669428825378418,1.029659390449524,0
136.7920379638672,7.593616485595703,0.9800036549568176,7.593616485595703,1.029331088066101,0
137.1877899169922,7.5426154136657715,1.039914608001709,7.5426154136657715,1.0295816659927368,0
137.38348388671875,7.515535354614258,0.941800057888031,7.515535354614258,1.0288859605789185,0
137.69158935546875,7.436611175537109,0.8708415627479553,7.436611175537109,1.0275113582611084,0
137.88204956054688,7.416430950164795,0.9275745749473572,7.416430950164795,1.026689887046814,0
138.19007873535156,7.256484031677246,0.9461089372634888,7.256484031677246,1.0260510444641113,0
138.48614501953125,7.200152397155762,1.0288028717041016,7.200152397155762,1.0262099504470825,0
138.89125061035156,7.228060722351074,0.9611589908599854,7.228060722351074,1.0257185697555542,0
139.1940155029297,7.311090469360352,0.9697720408439636,7.311090469360352,1.0253123044967651,0
139.4835662841797,7.336662769317627,0.855187714099884,7.336662769317627,1.0238096714019775,0
139.4835662841797,7.336662769317627,1.0195873975753784,7.336662769317627,1.023890733718872,0
139.68905639648438,7.410699844360352,1.1390306949615479,7.410699844360352,1.0251147747039795,0
139.78799438476562,7.4474687576293945,0.9755271673202515,7.4474687576293945,1.0247670412063599,0
140.18650817871094,7.74830436706543,1.0962350368499756,7.74830436706543,1.0255756378173828,0
140.38644409179688,7.74830436706543,1.0068448781967163,7.74830436706543,1.0255250930786133,0
140.59046936035156,7.878550052642822,1.1096031665802002,7.878550052642822,1.0264562368392944,0
140.78631591796875,7.878550052642822,1.0413585901260376,7.878550052642822,1.0267304182052612,0
141.0869598388672,8.355941772460938,1.0175371170043945,8.355941772460938,1.0267754793167114,0
141.39205932617188,8.613848686218262,1.0431402921676636,8.613848686218262,1.0270644426345825,0
141.68490600585938,8.73770809173584,1.0860282182693481,8.73770809173584,1.0277601480484009,0
141.98330688476562,8.73770809173584,1.1643263101577759,8.73770809173584,1.0291975736618042,0
142.59278869628906,9.261082649230957,1.148582100868225,9.261082649230957,1.0304769277572632,0
143.09707641601562,9.335700035095215,1.1285110712051392,9.335700035095215,1.0315577983856201,0
143.19688415527344,9.390873908996582,1.1071258783340454,9.390873908996582,1.0324290990829468,0
143.38595581054688,9.390873908996582,1.2152796983718872,9.390873908996582,1.03432297706604,0
143.58767700195312,9.364544868469238,1.2404369115829468,9.364544868469238,1.0364447832107544,0
143.69178771972656,9.329280853271484,1.11166512966156,9.329280853271484,1.03733229637146,0
