time,.time,.true_n,.true_velocity,.predicted_n,.predicted_velocity,.key_event,.key_event_time
2023/04/21/09:42:12.139569,467.2505798339844,1.0981377363204956,10.628524780273438,1.0510244369506836,10.628524780273438,0.0,0.0
2023/04/21/09:42:12.139805,467.74468994140625,1.0469908714294434,10.713266372680664,1.050997257232666,10.669318199157715,0.0,0.0
2023/04/21/09:42:12.139830,467.9493713378906,1.0882294178009033,10.835714340209961,1.0511598587036133,10.835714340209961,0.0,0.0
2023/04/21/09:42:12.139874,468.3462219238281,1.0264909267425537,10.926267623901367,1.0510379076004028,10.926267623901367,0.0,0.0
2023/04/21/09:42:12.140037,468.7392272949219,1.0084319114685059,11.149724006652832,1.0508333444595337,11.149724006652832,0.0,0.0
2023/04/21/09:42:12.140056,469.2398376464844,1.0488085746765137,11.244004249572754,1.0508148670196533,11.244004249572754,0.0,0.0
2023/04/21/09:42:12.140222,469.541748046875,1.0618115663528442,11.420978546142578,1.050856113433838,11.420978546142578,0.0,0.0
2023/04/21/09:42:12.140246,469.93902587890625,0.9377009272575378,11.566854476928711,1.0503270626068115,11.566854476928711,0.0,0.0
2023/04/21/09:44:06.936805,470.34625244140625,0.8758765459060669,11.69800090789795,1.0495154857635498,11.69800090789795,0.0,0.0
2023/04/21/09:44:06.936844,470.6393737792969,0.9609188437461853,11.785423278808594,1.0490965843200684,11.785423278808594,0.0,0.0
2023/04/21/09:44:06.936873,470.9398193359375,0.9391316175460815,11.964216232299805,1.0485787391662598,11.964216232299805,0.0,0.0
2023/04/21/09:44:06.937152,471.54803466796875,0.9749698638916016,12.11469554901123,1.0482267141342163,12.11469554901123,0.0,0.0
2023/04/21/09:44:06.937175,471.9472961425781,1.026035189628601,11.930963516235352,1.0481098890304565,11.930963516235352,0.0,0.0
2023/04/21/09:44:06.937212,472.1406555175781,1.0598143339157104,11.82364559173584,1.048148274421692,11.82364559173584,0.0,0.0
2023/04/21/09:44:06.937234,472.3414001464844,1.028834581375122,11.762255668640137,1.0480444431304932,11.762255668640137,0.0,0.0
2023/04/21/09:44:06.939846,472.4389953613281,0.9529284834861755,11.74625015258789,1.0475929975509644,11.74625015258789,0.0,0.0
2023/04/21/09:44:06.939895,472.54864501953125,0.8594996929168701,11.694135665893555,1.0467145442962646,11.694135665893555,0.0,0.0
2023/04/21/09:44:06.939918,472.751220703125,0.8750090003013611,11.603311538696289,1.0459096431732178,11.603311538696289,0.0,0.0
2023/04/21/09:44:06.940327,472.9403076171875,0.9086183309555054,11.603311538696289,1.0452606678009033,11.603311538696289,0.0,0.0
