time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:36:35.434497,3726,1682087794,739388626,map,13.35902214050293,-2.131330728530884,81.21035766601562,-0.038665850730326294,-0.11531665931657308,0.9136011772213672,0.38799491011255766
2023/04/21/09:36:35.434509,3727,1682087794,746398108,map,13.113775253295898,-1.8854796886444092,81.20524597167969,-0.036949905013478015,-0.11227392027188973,0.915714883821037,0.38405169311272697
2023/04/21/09:36:35.434520,3728,1682087794,835954757,map,12.914624214172363,-1.689010739326477,81.20254516601562,-0.036515334126838245,-0.11084247105084602,0.9169037831972566,0.3816650645955248
2023/04/21/09:36:35.434531,3729,1682087794,840116052,map,12.730225563049316,-1.5089831352233887,81.20063018798828,-0.035753108371518724,-0.10650541282510526,0.9195325875060024,0.3766144180776461
2023/04/21/09:36:36.136734,3730,1682087794,938413414,map,11.618423461914062,-0.45833805203437805,81.17922973632812,-0.03595320580318025,-0.10415518337994834,0.9208975764153005,0.3739073049243671
2023/04/21/09:36:36.136752,3731,1682087794,939376577,map,11.427964210510254,-0.28469106554985046,81.17518615722656,-0.039029472665854034,-0.10870572593010892,0.9324316515661858,0.34239014448901167
2023/04/21/09:36:36.136775,3732,1682087794,940796219,map,11.21890926361084,-0.08756311237812042,81.1705093383789,-0.040448686129939404,-0.11210547775763789,0.9333258391041928,0.3386725395692597
2023/04/21/09:36:36.136819,3733,1682087795,38704097,map,10.960678100585938,0.15235380828380585,81.16404724121094,-0.042987067009383054,-0.11753278802648046,0.9350104697125976,0.33180350941922704
2023/04/21/09:36:36.136863,3734,1682087795,136101319,map,10.750937461853027,0.34242796897888184,81.15837860107422,-0.04457966997406421,-0.12008852023662044,0.9370961065111592,0.3247188349187883
2023/04/21/09:36:36.136875,3735,1682087795,234422622,map,10.556553840637207,0.5162039399147034,81.15229797363281,-0.044613861604918675,-0.12001828251357703,0.9379944455137447,0.32213597067491934
2023/04/21/09:36:36.137014,3736,1682087795,243267107,map,10.29668140411377,0.7437782883644104,81.143310546875,-0.04425874806443407,-0.11855615038681741,0.940879291927194,0.3142160088572675
2023/04/21/09:36:36.137028,3737,1682087795,245398296,map,10.085067749023438,0.9244113564491272,81.13509368896484,-0.04316728166525957,-0.1173452608923873,0.943354913515027,0.30732457765725124
2023/04/21/09:36:36.137046,3738,1682087795,248733719,map,9.820011138916016,1.153455376625061,81.1238784790039,-0.04290035777110598,-0.11747824210197326,0.9442192610842883,0.30464496532262564
2023/04/21/09:36:36.137063,3739,1682087795,336145278,map,9.620781898498535,1.3216127157211304,81.11528778076172,-0.04187863123532686,-0.11779490454572578,0.9466035925982467,0.2971737620744935
2023/04/21/09:36:36.337953,3740,1682087795,436068955,map,8.239195823669434,2.423474073410034,81.0491714477539,-0.02403927361901191,-0.039386090980539364,0.9644679347346499,0.2601394316550921
2023/04/21/09:36:36.338110,3749,1682087795,737841468,map,6.112390995025635,4.016622543334961,81.0088882446289,-0.03422042274962411,-0.024259430645658844,0.9694581848186126,0.24164313967211654
2023/04/21/09:36:36.338125,3750,1682087795,840729133,map,5.8850274085998535,4.177159786224365,81.00621032714844,-0.033327518714863044,-0.02588553706218362,0.9683299558308244,0.24608191931673834
2023/04/21/09:36:36.338143,3751,1682087795,938091952,map,5.598326683044434,4.3860697746276855,81.00267028808594,-0.03193501845019949,-0.025606735659284056,0.9675078394037708,0.2495057607023693
2023/04/21/09:36:36.338248,3752,1682087795,940189907,map,5.3835296630859375,4.540233135223389,80.99956512451172,-0.029123946966981982,-0.024138432147304007,0.9660840767142245,0.25544235504937124
2023/04/21/09:36:36.338266,3753,1682087795,941386018,map,5.151357173919678,4.7041449546813965,80.9958267211914,-0.025685339202484624,-0.021605205531088214,0.9644324049413553,0.26219000227569267
2023/04/21/09:36:36.338282,3754,1682087795,942287732,map,4.865644454956055,4.904993534088135,80.99078369140625,-0.024488535151899627,-0.020191033389847582,0.9638176299355511,0.264666319286526
2023/04/21/09:36:36.338297,3755,1682087795,944314564,map,4.651747703552246,5.054038047790527,80.98648071289062,-0.019654250962576714,-0.014534461222626843,0.9618922143816038,0.27233441153747673
2023/04/21/09:36:36.338315,3756,1682087796,39344731,map,3.8958616256713867,5.58838415145874,80.97114562988281,-0.009834888733220748,-0.0036743853022375966,0.9577445640930708,0.28742869420235007
2023/04/21/09:36:36.338357,3757,1682087796,40659270,map,3.6802916526794434,5.742764949798584,80.9686279296875,-0.008564348935802069,-0.0010435223833599049,0.9561198452298243,0.2928491582424876
2023/04/21/09:36:36.338396,3758,1682087796,42626914,map,3.3947315216064453,5.9477763175964355,80.96613311767578,-0.009602104774177746,-0.0014418519193641105,0.9548139672755629,0.29704563565502035
2023/04/21/09:36:36.735714,3759,1682087796,141703267,map,3.1645171642303467,6.11297082901001,80.96356201171875,-0.010029515964926726,-0.0025028230980074493,0.9542105508454324,0.298957374556626
2023/04/21/09:36:36.735726,3760,1682087796,241652870,map,2.880591630935669,6.320354461669922,80.96028900146484,-0.011905819245102325,-0.007072500975936493,0.9533410402872284,0.30157758090827547
2023/04/21/09:36:36.735736,3761,1682087796,246864606,map,2.7363531589508057,6.428680896759033,80.9582290649414,-0.013028197229573147,-0.009796884294301193,0.9530584878148113,0.30234726665578143
2023/04/21/09:36:36.735746,3762,1682087796,247601607,map,2.4325010776519775,6.655888080596924,80.953125,-0.013538854702303964,-0.015265550170428304,0.9526213828489049,0.30347389406332614
2023/04/21/09:36:36.735926,3763,1682087796,335961965,map,2.219111680984497,6.815858840942383,80.94986724853516,-0.012482369693485134,-0.019734631258859815,0.9525081342669561,0.3036165611455355
2023/04/21/09:36:36.735945,3764,1682087796,340290567,map,2.0069520473480225,6.974776268005371,80.94664764404297,-0.011007987651060275,-0.023749433034525032,0.9525856212479433,0.30314247232006075
2023/04/21/09:36:36.735956,3765,1682087796,437828159,map,1.7087123394012451,7.197391986846924,80.94157409667969,-0.010138760925539217,-0.025293367584432735,0.9527371813151886,0.3025712982290411
2023/04/21/09:36:36.735966,3766,1682087796,443337295,map,1.4992611408233643,7.3541741371154785,80.9378433227539,-0.00846488632458341,-0.02714430109598281,0.9531950225305623,0.30101637454692864
2023/04/21/09:36:36.738593,3767,1682087796,542744096,map,1.1994856595993042,7.581469535827637,80.93086242675781,-0.006659849413972683,-0.027111595800082867,0.9539026259702118,0.2988150025023562
2023/04/21/09:36:36.837838,3768,1682087796,644074756,map,0.9888912439346313,7.741209506988525,80.92449188232422,-0.005936525858373228,-0.027147496353935544,0.9542809360824456,0.29761668330549446
