2023-04-21_22-41-01,true_velocity,n_true,predicted_velocity,predicted_n,bounds_crossed
15.87704086303711,16.55155372619629,1.0776220560073853,16.55155372619629,1.4505531787872314,0
15.93825912475586,16.55155372619629,1.0218018293380737,16.55155372619629,1.4453338384628296,0
16.016935348510742,16.813241958618164,0.988020122051239,16.813241958618164,1.4381784200668335,0
16.097017288208008,16.799243927001953,0.9781589508056641,16.799243927001953,1.430633306503296,0
16.228092193603516,16.9143123626709,0.94990473985672,16.9143123626709,1.421592116355896,0
16.297832489013672,16.910070419311523,1.0349583625793457,16.910070419311523,1.4180124998092651,0
16.357158660888672,16.624530792236328,1.15570068359375,16.624530792236328,1.421842336654663,0
16.437210083007812,16.624530792236328,1.2702877521514893,16.624530792236328,1.4324158430099487,0
16.516712188720703,16.617204666137695,1.339040994644165,16.617204666137695,1.4467061758041382,0
16.596965789794922,16.63878059387207,1.3652338981628418,16.63878059387207,1.4620121717453003,0
16.677074432373047,16.73822593688965,1.325500249862671,16.73822593688965,1.4743521213531494,0
16.75721549987793,16.73822593688965,1.2488300800323486,16.73822593688965,1.4816402196884155,0
16.837074279785156,16.679443359375,1.1564359664916992,16.679443359375,1.4831379652023315,0
16.917078018188477,16.669780731201172,1.0732903480529785,16.669780731201172,1.4796147346496582,0
16.97711753845215,16.68242835998535,0.9350134134292603,16.68242835998535,1.4680200815200806,0
17.058441162109375,17.05406379699707,0.8741090297698975,17.05406379699707,1.4532028436660767,0
17.13738441467285,17.05406379699707,0.9140510559082031,17.05406379699707,1.4411808252334595,0
17.216848373413086,16.944957733154297,1.018385887145996,16.944957733154297,1.435598373413086,0
17.299442291259766,16.799379348754883,1.1255570650100708,16.799379348754883,1.436376690864563,0
17.396766662597656,16.85733985900879,1.1855354309082031,16.85733985900879,1.440548062324524,0
17.477201461791992,16.991151809692383,1.184847354888916,16.991151809692383,1.4444904327392578,0
17.537614822387695,16.991151809692383,1.1463019847869873,16.991151809692383,1.4460394382476807,0
17.61684226989746,16.912952423095703,1.0693938732147217,16.912952423095703,1.443090796470642,0
17.69746208190918,16.88077163696289,0.9839180111885071,16.88077163696289,1.4353245496749878,0
17.77761459350586,17.12099266052246,0.9491458535194397,17.12099266052246,1.4257993698120117,0
17.856910705566406,17.149032592773438,1.0029351711273193,17.149032592773438,1.4195910692214966,0
17.93706512451172,17.149032592773438,1.0723817348480225,17.149032592773438,1.4174611568450928,0
18.016695022583008,17.257951736450195,1.1132771968841553,17.257951736450195,1.417656660079956,0
18.096858978271484,17.1723575592041,1.1260210275650024,17.1723575592041,1.4185166358947754,0
18.177871704101562,17.169536590576172,1.107299566268921,17.169536590576172,1.4182615280151367,0
18.259340286254883,17.16355323791504,1.0900769233703613,17.16355323791504,1.4170150756835938,0
18.337539672851562,17.16355323791504,1.0751447677612305,17.16355323791504,1.4149401187896729,0
18.41743278503418,17.289819717407227,1.099851369857788,17.289819717407227,1.4142546653747559,0
18.518983840942383,17.166017532348633,1.106055498123169,17.166017532348633,1.413891077041626,0
18.597017288208008,17.142452239990234,1.092209815979004,17.142452239990234,1.412738561630249,0
18.678293228149414,17.265335083007812,1.0605934858322144,17.265335083007812,1.4098546504974365,0
18.756855010986328,17.265335083007812,1.0410432815551758,17.265335083007812,1.4059584140777588,0
18.841041564941406,17.286073684692383,1.0605759620666504,17.286073684692383,1.4032069444656372,0
18.939533233642578,17.27429962158203,1.0723646879196167,17.27429962158203,1.4011414051055908,0
19.017263412475586,17.30525016784668,1.0661669969558716,17.30525016784668,1.398768663406372,0
