time2,time1,true_n,true_velocity,predicted_n,predicted_velocity,bounds_crossed
2023/04/21/09:36:05.746285,103.54011535644533,1.098063826560974,17.410354614257812,1.022070050239563,17.410354614257812,0
2023/04/21/09:36:06.137375,104.0383529663086,0.9543938636779784,17.351604461669922,1.0215996503829956,17.351604461669922,0
2023/04/21/09:36:06.834875,104.63907623291016,0.8133867383003235,17.304689407348633,1.019783854484558,17.304689407348633,0
2023/04/21/09:36:07.234492,105.1428680419922,0.758103609085083,16.672962188720703,1.0174500942230225,16.759544372558594,0
2023/04/21/09:36:07.634093,105.5436019897461,0.842487633228302,16.519575119018555,1.015934944152832,16.519575119018555,0
2023/04/21/09:36:08.340302,105.84156799316406,0.7682978510856628,16.33604621887207,1.0137203931808472,16.33604621887207,0
2023/04/21/09:36:08.941264,106.24149322509766,0.9057406187057496,16.173744201660156,1.0128289461135864,16.173744201660156,0
2023/04/21/09:36:09.144167,106.73786163330078,0.9588457345962524,15.824565887451172,1.01244854927063,15.824565887451172,0
2023/04/21/09:36:09.336413,107.15298461914062,0.7796973586082458,15.499324798583984,1.0103638172149658,15.499324798583984,0
2023/04/21/09:36:09.336502,107.15298461914062,0.9546781182289124,15.499324798583984,1.0099563598632812,15.499324798583984,0
2023/04/21/09:36:09.442975,107.15298461914062,1.081809163093567,15.499324798583984,1.0107605457305908,15.499324798583984,0
2023/04/21/09:36:09.836560,107.74107360839844,1.1741751432418823,15.187958717346191,1.012438178062439,15.187958717346191,0
2023/04/21/09:36:10.038928,107.94078826904295,1.0557665824890137,15.126233100891112,1.0129812955856323,15.126233100891112,0
2023/04/21/09:36:10.146714,108.14166259765624,0.9993625283241272,15.118896484375,1.0129854679107666,15.118896484375,0
2023/04/21/09:36:10.347415,108.25050354003906,0.963533580303192,15.13280963897705,1.0126495361328125,15.13280963897705,0
2023/04/21/09:36:10.437671,108.34175872802734,1.0231002569198608,15.214569091796877,1.0128803253173828,15.214569091796877,0
2023/04/21/09:36:10.634074,108.44979858398438,0.9224300980567932,15.255435943603516,1.0121554136276243,15.255435943603516,0
2023/04/21/09:36:10.645195,108.64439392089844,0.8296655416488647,15.228829383850098,1.010555624961853,15.228829383850098,0
2023/04/21/09:36:10.842539,108.74510192871094,1.0490983724594116,15.228829383850098,1.0110424757003784,15.228829383850098,0
2023/04/21/09:36:11.237620,109.04427337646484,1.121617078781128,14.884180068969728,1.0122125148773191,14.884180068969728,0
2023/04/21/09:36:11.247363,109.24451446533205,1.203366756439209,14.645098686218262,1.0141490697860718,14.645098686218262,0
2023/04/21/09:36:11.643492,109.44092559814452,1.196899175643921,14.569071769714355,1.016013503074646,14.569071769714355,0
2023/04/21/09:36:11.935109,109.8396224975586,1.2690614461898804,14.399620056152344,1.0185489654541016,14.399620056152344,0
2023/04/21/09:36:12.535172,110.13928985595705,1.2318956851959229,14.286277770996094,1.0207191705703735,14.286277770996094,0
2023/04/21/09:36:12.544243,110.2490692138672,1.282956600189209,14.304948806762695,1.023358941078186,14.304948806762695,0
2023/04/21/09:36:12.734345,110.64186096191406,1.2479627132415771,14.32483196258545,1.0256537199020386,14.32483196258545,0
2023/04/21/09:36:13.043123,110.7421417236328,1.2130703926086426,14.32167148590088,1.0276066064834597,14.32167148590088,0
2023/04/21/09:36:13.238285,110.9452667236328,1.0849885940551758,14.362526893615724,1.0283421277999878,14.362526893615724,0
2023/04/21/09:36:13.238317,111.13980865478516,1.276256442070007,14.393500328063965,1.0308736562728882,14.393500328063965,0
2023/04/21/09:36:13.434074,111.33773803710938,1.1408686637878418,14.492761611938477,1.0321171283721924,14.492761611938477,0
2023/04/21/09:36:13.536788,111.34886932373048,1.1409424543380735,14.554869651794434,1.0333542823791504,14.554869651794434,0
2023/04/21/09:36:13.744795,111.63994598388672,0.9962586164474488,14.620231628417969,1.0332247018814087,14.620231628417969,0
2023/04/21/09:36:14.039100,111.93948364257812,0.9582348465919496,14.74255657196045,1.0327386856079102,14.74255657196045,0
2023/04/21/09:36:14.340498,112.0388412475586,0.8870658278465271,14.83555507659912,1.0315871238708496,14.83555507659912,0
2023/04/21/09:36:14.837981,112.4442138671875,0.8827674388885498,15.319073677062988,1.0304014682769775,15.319073677062988,0
2023/04/21/09:36:15.144919,113.03763580322266,0.9066975116729736,15.517312049865724,1.0294464826583862,15.517312049865724,0
2023/04/21/09:36:15.842203,113.54490661621094,0.9829095602035522,16.686765670776367,1.0292105674743652,16.686765670776367,0
2023/04/21/09:36:18.140897,114.0484848022461,0.983501434326172,15.827969551086426,1.0289812088012695,15.827969551086426,0
2023/04/21/09:36:18.140920,114.64088439941406,1.1198220252990725,15.750174522399902,1.0300285816192627,15.875855445861816,0
2023/04/21/09:36:18.234255,115.04428100585938,1.134267807006836,15.478633880615234,1.0312050580978394,15.478633880615234,0
2023/04/21/09:36:18.234283,115.4415512084961,1.1589704751968384,15.01343822479248,1.0326056480407717,15.01343822479248,0
2023/04/21/09:36:18.234303,115.93928527832033,1.0865627527236938,14.193110466003418,1.0333218574523926,14.193110466003418,0
2023/04/21/09:36:22.435666,116.34173583984376,1.1037683486938477,13.373117446899414,1.0341944694519043,13.730789184570312,0
2023/04/21/09:36:22.435757,116.54493713378906,1.106823205947876,13.009391784667969,1.035090446472168,13.009391784667969,0
2023/04/21/09:36:22.435775,116.94224548339844,0.9977248907089232,11.998621940612791,1.0349639654159546,11.998621940612791,0
2023/04/21/09:36:22.435811,117.23806762695312,0.9267449378967284,11.421062469482422,1.034176468849182,11.421062469482422,0
